/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b
/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b/qwen3_0.6b_fp32_x86.bin
Model Weight Bytes Breakdown:
=========================
embedding0 | embedding0:Embedding | 622329856 bytes
layer21_k_norm | layer21_k_norm:gamma | 512 bytes
layer21_wv | layer21_wv:weight | 4194304 bytes
layer21_attention_out | layer21_attention_out:weight | 8388608 bytes
layer21_ffn_norm | layer21_ffn_norm:gamma | 4096 bytes
layer21_ffn_gate | layer21_ffn_gate:weight | 12582912 bytes
layer21_ffn_up | layer21_ffn_up:weight | 12582912 bytes
layer21_ffn_down | layer21_ffn_down:weight | 12582912 bytes
layer22_attention_norm | layer22_attention_norm:gamma | 4096 bytes
layer22_wq | layer22_wq:weight | 8388608 bytes
layer22_q_norm | layer22_q_norm:gamma | 512 bytes
layer22_wk | layer22_wk:weight | 4194304 bytes
layer22_k_norm | layer22_k_norm:gamma | 512 bytes
layer22_wv | layer22_wv:weight | 4194304 bytes
layer22_attention_out | layer22_attention_out:weight | 8388608 bytes
layer22_ffn_norm | layer22_ffn_norm:gamma | 4096 bytes
layer22_ffn_gate | layer22_ffn_gate:weight | 12582912 bytes
layer22_ffn_up | layer22_ffn_up:weight | 12582912 bytes
layer22_ffn_down | layer22_ffn_down:weight | 12582912 bytes
layer23_attention_norm | layer23_attention_norm:gamma | 4096 bytes
layer23_wq | layer23_wq:weight | 8388608 bytes
layer23_q_norm | layer23_q_norm:gamma | 512 bytes
layer23_wk | layer23_wk:weight | 4194304 bytes
layer23_k_norm | layer23_k_norm:gamma | 512 bytes
layer23_wv | layer23_wv:weight | 4194304 bytes
layer23_attention_out | layer23_attention_out:weight | 8388608 bytes
layer23_ffn_norm | layer23_ffn_norm:gamma | 4096 bytes
layer23_ffn_gate | layer23_ffn_gate:weight | 12582912 bytes
layer23_ffn_up | layer23_ffn_up:weight | 12582912 bytes
layer23_ffn_down | layer23_ffn_down:weight | 12582912 bytes
layer24_attention_norm | layer24_attention_norm:gamma | 4096 bytes
layer24_wq | layer24_wq:weight | 8388608 bytes
layer24_q_norm | layer24_q_norm:gamma | 512 bytes
layer24_wk | layer24_wk:weight | 4194304 bytes
layer24_k_norm | layer24_k_norm:gamma | 512 bytes
layer24_wv | layer24_wv:weight | 4194304 bytes
layer24_attention_out | layer24_attention_out:weight | 8388608 bytes
layer24_ffn_norm | layer24_ffn_norm:gamma | 4096 bytes
layer24_ffn_gate | layer24_ffn_gate:weight | 12582912 bytes
layer24_ffn_up | layer24_ffn_up:weight | 12582912 bytes
layer24_ffn_down | layer24_ffn_down:weight | 12582912 bytes
layer25_attention_norm | layer25_attention_norm:gamma | 4096 bytes
layer25_wq | layer25_wq:weight | 8388608 bytes
layer25_q_norm | layer25_q_norm:gamma | 512 bytes
layer25_wk | layer25_wk:weight | 4194304 bytes
layer25_k_norm | layer25_k_norm:gamma | 512 bytes
layer25_wv | layer25_wv:weight | 4194304 bytes
layer25_attention_out | layer25_attention_out:weight | 8388608 bytes
layer25_ffn_norm | layer25_ffn_norm:gamma | 4096 bytes
layer25_ffn_gate | layer25_ffn_gate:weight | 12582912 bytes
layer25_ffn_up | layer25_ffn_up:weight | 12582912 bytes
layer25_ffn_down | layer25_ffn_down:weight | 12582912 bytes
layer26_attention_norm | layer26_attention_norm:gamma | 4096 bytes
layer26_wq | layer26_wq:weight | 8388608 bytes
layer26_q_norm | layer26_q_norm:gamma | 512 bytes
layer26_wk | layer26_wk:weight | 4194304 bytes
layer26_k_norm | layer26_k_norm:gamma | 512 bytes
layer26_wv | layer26_wv:weight | 4194304 bytes
layer26_attention_out | layer26_attention_out:weight | 8388608 bytes
layer26_ffn_norm | layer26_ffn_norm:gamma | 4096 bytes
layer26_ffn_gate | layer26_ffn_gate:weight | 12582912 bytes
layer26_ffn_up | layer26_ffn_up:weight | 12582912 bytes
layer26_ffn_down | layer26_ffn_down:weight | 12582912 bytes
layer27_attention_norm | layer27_attention_norm:gamma | 4096 bytes
layer27_wq | layer27_wq:weight | 8388608 bytes
layer27_q_norm | layer27_q_norm:gamma | 512 bytes
layer27_wk | layer27_wk:weight | 4194304 bytes
layer27_k_norm | layer27_k_norm:gamma | 512 bytes
layer27_wv | layer27_wv:weight | 4194304 bytes
layer27_attention_out | layer27_attention_out:weight | 8388608 bytes
layer27_ffn_norm | layer27_ffn_norm:gamma | 4096 bytes
layer27_ffn_gate | layer27_ffn_gate:weight | 12582912 bytes
layer27_ffn_up | layer27_ffn_up:weight | 12582912 bytes
layer27_ffn_down | layer27_ffn_down:weight | 12582912 bytes
output_norm | output_norm:gamma | 4096 bytes
output_of_causallm | embedding0:Embedding | 622329856 bytes
=========================
Total: 3006529536 bytes
================================================================================
                              Layer name          Layer type    Output dimension                             Input layer
================================================================================
                                  input0               input          1:1:1:1024                                        
--------------------------------------------------------------------------------
                              embedding0 tie_word_embeddings       1:1:1024:1024                                  input0
--------------------------------------------------------------------------------
              embedding0/generated_out_0            multiout       1:1:1024:1024                              embedding0
--------------------------------------------------------------------------------
                   layer0_attention_norm            rms_norm       1:1:1024:1024              embedding0/generated_out_0
--------------------------------------------------------------------------------
   layer0_attention_norm/generated_out_0            multiout       1:1:1024:1024                   layer0_attention_norm
--------------------------------------------------------------------------------
                               layer0_wq     fully_connected       1:1:1024:2048   layer0_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer0_q_norm   reshaped_rms_norm       1:1:1024:2048                               layer0_wq
--------------------------------------------------------------------------------
                               layer0_wk     fully_connected       1:1:1024:1024   layer0_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer0_k_norm   reshaped_rms_norm       1:1:1024:1024                               layer0_wk
--------------------------------------------------------------------------------
                               layer0_wv     fully_connected       1:1:1024:1024   layer0_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                        layer0_attention            mha_core       1:1:1024:2048                           layer0_q_norm
                                                                                                           layer0_k_norm
                                                                                                               layer0_wv
--------------------------------------------------------------------------------
                    layer0_attention_out     fully_connected       1:1:1024:1024                        layer0_attention
--------------------------------------------------------------------------------
                      layer0_decoder_add            addition       1:1:1024:1024              embedding0/generated_out_0
                                                                                                    layer0_attention_out
--------------------------------------------------------------------------------
      layer0_decoder_add/generated_out_0            multiout       1:1:1024:1024                      layer0_decoder_add
--------------------------------------------------------------------------------
                         layer0_ffn_norm            rms_norm       1:1:1024:1024      layer0_decoder_add/generated_out_0
--------------------------------------------------------------------------------
         layer0_ffn_norm/generated_out_0            multiout       1:1:1024:1024                         layer0_ffn_norm
--------------------------------------------------------------------------------
                         layer0_ffn_gate     fully_connected       1:1:1024:3072         layer0_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer0_ffn_up     fully_connected       1:1:1024:3072         layer0_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer0_ffn_swiglu              swiglu       1:1:1024:3072                           layer0_ffn_up
                                                                                                         layer0_ffn_gate
--------------------------------------------------------------------------------
                         layer0_ffn_down     fully_connected       1:1:1024:1024                       layer0_ffn_swiglu
--------------------------------------------------------------------------------
                   layer0_decoder_output            addition       1:1:1024:1024      layer0_decoder_add/generated_out_0
                                                                                                         layer0_ffn_down
--------------------------------------------------------------------------------
   layer0_decoder_output/generated_out_0            multiout       1:1:1024:1024                   layer0_decoder_output
--------------------------------------------------------------------------------
                   layer1_attention_norm            rms_norm       1:1:1024:1024   layer0_decoder_output/generated_out_0
--------------------------------------------------------------------------------
   layer1_attention_norm/generated_out_0            multiout       1:1:1024:1024                   layer1_attention_norm
--------------------------------------------------------------------------------
                               layer1_wq     fully_connected       1:1:1024:2048   layer1_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer1_q_norm   reshaped_rms_norm       1:1:1024:2048                               layer1_wq
--------------------------------------------------------------------------------
                               layer1_wk     fully_connected       1:1:1024:1024   layer1_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer1_k_norm   reshaped_rms_norm       1:1:1024:1024                               layer1_wk
--------------------------------------------------------------------------------
                               layer1_wv     fully_connected       1:1:1024:1024   layer1_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                        layer1_attention            mha_core       1:1:1024:2048                           layer1_q_norm
                                                                                                           layer1_k_norm
                                                                                                               layer1_wv
--------------------------------------------------------------------------------
                    layer1_attention_out     fully_connected       1:1:1024:1024                        layer1_attention
--------------------------------------------------------------------------------
                      layer1_decoder_add            addition       1:1:1024:1024   layer0_decoder_output/generated_out_0
                                                                                                    layer1_attention_out
--------------------------------------------------------------------------------
      layer1_decoder_add/generated_out_0            multiout       1:1:1024:1024                      layer1_decoder_add
--------------------------------------------------------------------------------
                         layer1_ffn_norm            rms_norm       1:1:1024:1024      layer1_decoder_add/generated_out_0
--------------------------------------------------------------------------------
         layer1_ffn_norm/generated_out_0            multiout       1:1:1024:1024                         layer1_ffn_norm
--------------------------------------------------------------------------------
                         layer1_ffn_gate     fully_connected       1:1:1024:3072         layer1_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer1_ffn_up     fully_connected       1:1:1024:3072         layer1_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer1_ffn_swiglu              swiglu       1:1:1024:3072                           layer1_ffn_up
                                                                                                         layer1_ffn_gate
--------------------------------------------------------------------------------
                         layer1_ffn_down     fully_connected       1:1:1024:1024                       layer1_ffn_swiglu
--------------------------------------------------------------------------------
                   layer1_decoder_output            addition       1:1:1024:1024      layer1_decoder_add/generated_out_0
                                                                                                         layer1_ffn_down
--------------------------------------------------------------------------------
   layer1_decoder_output/generated_out_0            multiout       1:1:1024:1024                   layer1_decoder_output
--------------------------------------------------------------------------------
                   layer2_attention_norm            rms_norm       1:1:1024:1024   layer1_decoder_output/generated_out_0
--------------------------------------------------------------------------------
   layer2_attention_norm/generated_out_0            multiout       1:1:1024:1024                   layer2_attention_norm
--------------------------------------------------------------------------------
                               layer2_wq     fully_connected       1:1:1024:2048   layer2_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer2_q_norm   reshaped_rms_norm       1:1:1024:2048                               layer2_wq
--------------------------------------------------------------------------------
                               layer2_wk     fully_connected       1:1:1024:1024   layer2_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer2_k_norm   reshaped_rms_norm       1:1:1024:1024                               layer2_wk
--------------------------------------------------------------------------------
                               layer2_wv     fully_connected       1:1:1024:1024   layer2_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                        layer2_attention            mha_core       1:1:1024:2048                           layer2_q_norm
                                                                                                           layer2_k_norm
                                                                                                               layer2_wv
--------------------------------------------------------------------------------
                    layer2_attention_out     fully_connected       1:1:1024:1024                        layer2_attention
--------------------------------------------------------------------------------
                      layer2_decoder_add            addition       1:1:1024:1024   layer1_decoder_output/generated_out_0
                                                                                                    layer2_attention_out
--------------------------------------------------------------------------------
      layer2_decoder_add/generated_out_0            multiout       1:1:1024:1024                      layer2_decoder_add
--------------------------------------------------------------------------------
                         layer2_ffn_norm            rms_norm       1:1:1024:1024      layer2_decoder_add/generated_out_0
--------------------------------------------------------------------------------
         layer2_ffn_norm/generated_out_0            multiout       1:1:1024:1024                         layer2_ffn_norm
--------------------------------------------------------------------------------
                         layer2_ffn_gate     fully_connected       1:1:1024:3072         layer2_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer2_ffn_up     fully_connected       1:1:1024:3072         layer2_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer2_ffn_swiglu              swiglu       1:1:1024:3072                           layer2_ffn_up
                                                                                                         layer2_ffn_gate
--------------------------------------------------------------------------------
                         layer2_ffn_down     fully_connected       1:1:1024:1024                       layer2_ffn_swiglu
--------------------------------------------------------------------------------
                   layer2_decoder_output            addition       1:1:1024:1024      layer2_decoder_add/generated_out_0
                                                                                                         layer2_ffn_down
--------------------------------------------------------------------------------
   layer2_decoder_output/generated_out_0            multiout       1:1:1024:1024                   layer2_decoder_output
--------------------------------------------------------------------------------
                   layer3_attention_norm            rms_norm       1:1:1024:1024   layer2_decoder_output/generated_out_0
--------------------------------------------------------------------------------
   layer3_attention_norm/generated_out_0            multiout       1:1:1024:1024                   layer3_attention_norm
--------------------------------------------------------------------------------
                               layer3_wq     fully_connected       1:1:1024:2048   layer3_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer3_q_norm   reshaped_rms_norm       1:1:1024:2048                               layer3_wq
--------------------------------------------------------------------------------
                               layer3_wk     fully_connected       1:1:1024:1024   layer3_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                           layer3_k_norm   reshaped_rms_norm       1:1:1024:1024                               layer3_wk
--------------------------------------------------------------------------------
                               layer3_wv     fully_connected       1:1:1024:1024   layer3_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                        layer3_attention            mha_core       1:1:1024:2048                           layer3_q_norm
                                                                                                           layer3_k_norm
                                                                                                               layer3_wv
--------------------------------------------------------------------------------
                    layer3_attention_out     fully_connected       1:1:1024:1024                        layer3_attention
--------------------------------------------------------------------------------
                      layer3_decoder_add            addition       1:1:1024:1024   layer2_decoder_output/generated_out_0
                                                                                                    layer3_attention_out
--------------------------------------------------------------------------------
      layer3_decoder_add/generated_out_0            multiout       1:1:1024:1024                      layer3_decoder_add
--------------------------------------------------------------------------------
